  Index  name               key               s         l        spin.x          spin.y          spin.z
    109  ESRE530            Marker               0.530   0.000    0.0352457983    0.9987914286   -0.0342551589
    110  MQC1RE             Monitor              0.530   0.000    0.0352457983    0.9987914286   -0.0342551589
    111  QC1RPE535          Sad_Mult             0.540   0.010    0.0357462637    0.9987685997   -0.0344018737
    112  ESRE540            Marker               0.540   0.000    0.0357462637    0.9987685997   -0.0344018737
    113  QC1RPE545          Sad_Mult             0.550   0.010    0.0362312623    0.9987504025   -0.0344228008
    114  ESRE550            Marker               0.550   0.000    0.0362312623    0.9987504025   -0.0344228008
    115  QC1RPE555          Sad_Mult             0.560   0.010    0.0366982758    0.9987378684   -0.0342914986
    116  ESRE560            Marker               0.560   0.000    0.0366982758    0.9987378684   -0.0342914986
    117  QC1RPE565          Sad_Mult             0.570   0.010    0.0371442718    0.9987322035   -0.0339748264
    118  ESRE570            Marker               0.570   0.000    0.0371442718    0.9987322035   -0.0339748264
    119  QC1RPE575          Sad_Mult             0.580   0.010    0.0375655826    0.9987347861   -0.0334313344
    120  ESRE580            Marker               0.580   0.000    0.0375655826    0.9987347861   -0.0334313344
    121  QC1RPE585          Sad_Mult             0.590   0.010    0.0379577554    0.9987471305   -0.0326094787
    122  ESRE590            Marker               0.590   0.000    0.0379577554    0.9987471305   -0.0326094787
    123  QC1RPE595          Sad_Mult             0.600   0.010    0.0383153736    0.9987707881   -0.0314459066
    124  ESRE600            Marker               0.600   0.000    0.0383153736    0.9987707881   -0.0314459066
    125  QC1RPE601          Sad_Mult             0.600   0.000    0.0383153857    0.9987707878   -0.0314458999
    126  QC1RE605           Sad_Mult             0.610   0.010    0.0386318017    0.9988071566   -0.0298638211
    127  QC1RPE609          Sad_Mult             0.610   0.000    0.0386318134    0.9988071564   -0.0298638140
    128  ESRE610            Marker               0.610   0.000    0.0386318134    0.9988071564   -0.0298638140
    129  QC1RPE611          Sad_Mult             0.610   0.000    0.0386318275    0.9988071561   -0.0298638047
    130  QC1RE615           Sad_Mult             0.620   0.010    0.0388990399    0.9988571512   -0.0277714989
    131  QC1RPE619          Sad_Mult             0.620   0.000    0.0388990533    0.9988571510   -0.0277714892
    132  ESRE620            Marker               0.620   0.000    0.0388990533    0.9988571510   -0.0277714892
    133  QC1RPE621          Sad_Mult             0.620   0.000    0.0388990685    0.9988571507   -0.0277714778
    134  QC1RE625           Sad_Mult             0.630   0.010    0.0391073112    0.9989206562   -0.0250627398
    135  QC1RPE629          Sad_Mult             0.630   0.000    0.0391073252    0.9989206559   -0.0250627281
    136  ESRE630            Marker               0.630   0.000    0.0391073252    0.9989206559   -0.0250627281
